SKU,"Is Variantion Group","Variation SKU","Variantion Group Name","Item Title","Short Description","Retail Price",Category,Brand,Weight,Height,"Dim Width","Stock available level at location","Stock level at location","Stock minimum level at location",Colour,"Manufacturer Part Number",Location,Size,"Amazon AU Price","eBay AU Price","Amazon CA Price","eBay CA Price","Amazon US Price","eBay US Price","Amazon UK Price","eBay UK Price","Amazon DE Price","Amazon FR Price","Amazon IT Price","Amazon ES Price","eBay IE Price","Amazon AU Title","eBay AU Title","eBay US Title","eBay CA Title","eBay UK Title","eBay IE Title","Amazon US Title","Amazon UK Title","Amazon DE Title","Amazon CA Title","Amazon FR Title","Amazon IT Title","Amazon ES Title","Default Description","Amazon AU Description","Amazon US Description","Amazon UK Description","Amazon DE Description","Amazon CA Description","Amazon FR Description","Amazon IT Description","Amazon ES Description","SEO Title Tags","SEO Description Tags","Website Title",PrimaryImage,Image2,Image3,Image4,Image5,Image6,Image7
BUP00115MAS-CODE1,Yes,BUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,,BUP00115MAS-CODE1,Default,,165,165,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tote Bags - Umbrella Ink","Shop our large range of artist designed Chirstmas Tote Bags today! Our unique, thick canvas Totes Bags are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/ToteBags/BUP00115MAS-CODE1-Butter Fly Pun Food/Images/BUP00115MAS-CODE1---Butter-Fly-Pun-Food.jpg",[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg
BUP00115BK0-CODE1,No,BUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food No size Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,Black,BUP00115BK0-CODE1,Default,"No size",165,165,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tote Bags No size - Umbrella Ink","Shop our large range of artist designed Chirstmas Tote Bags today! Our unique, thick canvas Totes Bags are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/ToteBags/BUP00115MAS-CODE1-Butter Fly Pun Food/Images/BUP00115BK0-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
BUP00115WH0-CODE1,No,BUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food No size White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,White,BUP00115WH0-CODE1,Default,"No size",165,165,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tote Bags No size - Umbrella Ink","Shop our large range of artist designed Chirstmas Tote Bags today! Our unique, thick canvas Totes Bags are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/ToteBags/BUP00115MAS-CODE1-Butter Fly Pun Food/Images/BUP00115WH0-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
