SKU,"Is Variantion Group","Variation SKU","Variantion Group Name","Item Title","Short Description","Retail Price",Category,Brand,Weight,Height,"Dim Width","Stock available level at location","Stock level at location","Stock minimum level at location",Colour,"Manufacturer Part Number",Location,Type,"Amazon AU Price","eBay AU Price","Amazon CA Price","eBay CA Price","Amazon US Price","eBay US Price","Amazon UK Price","eBay UK Price","Amazon DE Price","Amazon FR Price","Amazon IT Price","Amazon ES Price","eBay IE Price","Amazon AU Title","eBay AU Title","eBay US Title","eBay CA Title","eBay UK Title","eBay IE Title","Amazon US Title","Amazon UK Title","Amazon DE Title","Amazon CA Title","Amazon FR Title","Amazon IT Title","Amazon ES Title","Default Description","Amazon AU Description","Amazon US Description","Amazon UK Description","Amazon DE Description","Amazon CA Description","Amazon FR Description","Amazon IT Description","Amazon ES Description","SEO Title Tags","SEO Description Tags","Website Title",PrimaryImage,Image2,Image3,Image4,Image5,Image6,Image7
CUP00115MAS-CODE1,Yes,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,,CUP00115MAS-CODE1,Default,,54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers - Umbrella Ink","Shop our large range of artist designed Chirstmas Cushion Covers from our shop today! Our Cushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115MAS-CODE1---Butter-Fly-Pun-Food.jpg",[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg
CUP00115BK0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Sequin Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Sequin Black",CUP00115BK0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Sequin - Umbrella Ink","Shop our large range of artist designed Chirstmas Sequin Cushion Covers from our shop today! Our SequinCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115BK0-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
CUP00115SL0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Sequin Silver",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Sequin Silver",CUP00115SL0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Silver",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Sequin - Umbrella Ink","Shop our large range of artist designed Chirstmas Sequin Cushion Covers from our shop today! Our SequinCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115SL0-CODE1---Butter-Fly-Pun-Food-Silver.jpg",,,,,,
CUP00115GD0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Sequin Gold",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Sequin Gold",CUP00115GD0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Gold",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Sequin - Umbrella Ink","Shop our large range of artist designed Chirstmas Sequin Cushion Covers from our shop today! Our SequinCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115GD0-CODE1---Butter-Fly-Pun-Food-Gold.jpg",,,,,,
CUP00115PR0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Sequin Pearl",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Sequin Pearl",CUP00115PR0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Pearl",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Sequin - Umbrella Ink","Shop our large range of artist designed Chirstmas Sequin Cushion Covers from our shop today! Our SequinCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115PR0-CODE1---Butter-Fly-Pun-Food-Pearl.jpg",,,,,,
CUP00115RD0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Sequin Red",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Sequin Red",CUP00115RD0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Sequin - Umbrella Ink","Shop our large range of artist designed Chirstmas Sequin Cushion Covers from our shop today! Our SequinCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115RD0-CODE1---Butter-Fly-Pun-Food-Red.jpg",,,,,,
CUP00115BL0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Sequin Blue",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Sequin Blue",CUP00115BL0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Sequin Blue",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Sequin - Umbrella Ink","Shop our large range of artist designed Chirstmas Sequin Cushion Covers from our shop today! Our SequinCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115BL0-CODE1---Butter-Fly-Pun-Food-Blue.jpg",,,,,,
CUP00115NA0-CODE1,No,CUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Natural No Colour",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Natural No Colour",CUP00115NA0-CODE1,Default,"No size",54,54,32,32,32,32,32,32,32,32,32,32,32,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Natural No Colour",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Cushion Covers Natural - Umbrella Ink","Shop our large range of artist designed Chirstmas Natural Cushion Covers from our shop today! Our NaturalCushion Covers are ideal for everyday use, making them great for Gifts, Birthdays, Farewells, Anniversaries, Weddings, Special Occasions and more!",,"[dropbox]/Production/UI/CushionCovers/CUP00115MAS-CODE1-Butter Fly Pun Food/Images/CUP00115NA0-CODE1---Butter-Fly-Pun-Food-No-Colour.jpg",,,,,,
