SKU,"Is Variantion Group","Variation SKU","Variantion Group Name","Item Title","Short Description","Retail Price",Category,Brand,Weight,Height,"Dim Width","Stock available level at location","Stock level at location","Stock minimum level at location",Colour,"Manufacturer Part Number",Location,Size,"Amazon AU Price","eBay AU Price","Amazon CA Price","eBay CA Price","Amazon US Price","eBay US Price","Amazon UK Price","eBay UK Price","Amazon DE Price","Amazon FR Price","Amazon IT Price","Amazon ES Price","eBay IE Price","Amazon AU Title","eBay AU Title","eBay US Title","eBay CA Title","eBay UK Title","eBay IE Title","Amazon US Title","Amazon UK Title","Amazon DE Title","Amazon CA Title","Amazon FR Title","Amazon IT Title","Amazon ES Title","Default Description","Amazon AU Description","Amazon US Description","Amazon UK Description","Amazon DE Description","Amazon CA Description","Amazon FR Description","Amazon IT Description","Amazon ES Description","SEO Title Tags","SEO Description Tags","Website Title",PrimaryImage,Image2,Image3,Image4,Image5,Image6,Image7
MUG00115MAS-CODE1,Yes,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,,MUG00115MAS-CODE1,Default,,258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women",,,,,,,,,,"Butter Fly Pun Food | Chirstmas - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUG00115MAS-CODE1---Butter-Fly-Pun-Food.jpg",[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg
MUP00115BK0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Standard 11oz Black",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Standard 11oz Black",MUP00115BK0-CODE1,Default,"Standard 11oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Standard 11oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115BK0-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
MUP00115WH0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Standard 11oz White",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Standard 11oz White",MUP00115WH0-CODE1,Default,"Standard 11oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Standard 11oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115WH0-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
MUP00115RD0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Standard 11oz Red",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Standard 11oz Red",MUP00115RD0-CODE1,Default,"Standard 11oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Standard 11oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115RD0-CODE1---Butter-Fly-Pun-Food-Red.jpg",,,,,,
MUP00115PK0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Standard 11oz Pink",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Standard 11oz Pink",MUP00115PK0-CODE1,Default,"Standard 11oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Pink",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Standard 11oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115PK0-CODE1---Butter-Fly-Pun-Food-Pink.jpg",,,,,,
MUP00115GN0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Standard 11oz Green",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Standard 11oz Green",MUP00115GN0-CODE1,Default,"Standard 11oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Green",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Standard 11oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115GN0-CODE1---Butter-Fly-Pun-Food-Green.jpg",,,,,,
MUP00115BL0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Standard 11oz Blue",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Standard 11oz Blue",MUP00115BL0-CODE1,Default,"Standard 11oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Standard 11oz Blue",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Standard 11oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115BL0-CODE1---Butter-Fly-Pun-Food-Blue.jpg",,,,,,
MUP00115WH0-CODE1,No,MUG00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Mega 15oz White",,36.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Mega 15oz White",MUP00115WH0-CODE1,Default,"Mega 15oz",258.01,258.01,36,36,36,36,36,36,36,36,36,36,36,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Mega 15oz White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Mugs Mega 15oz - Umbrella Ink","This is the perfect Chirstmas  mug that you are looking for! Discover a huge range of Chirstmas  mugs that makes a unique gift for him or her. Ideal for Birthdays, Farewells, Anniversaries, Weddings, Pranks, Special Occasions and more!",,"[dropbox]/Production/UI/Mugs/MUG00115MAS-CODE1-Butter Fly Pun Food/Images/MUP00115WH0-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
